切断長,数量,スターラップ数,径,,,,,,
1000,4,1,D10,,,,,,
1200,33,1,D13,,,,,,
1000,4,1,D10,,,,,,
1200,8,1,D13,,,,,,
1000,5,1,D10,,,,,,
700,10,1,D10,,,,,,
1050,1,1,D13,,,,,,
2700,4,1,D13,,,,,,
2250,2,1,D13,,,,,,
2100,1,1,D13,,,,,,
2300,1,1,D13,,,,,,
3650,3,1,D16,,,,,,
1550,3,1,D13,,,,,,
3000,3,1,D13,,,,,,
4000,42,1,D13,,,,,,
2300,42,1,D13,,,,,,
5500,27,1,D13,,,,,,
900,19,1,D10,,,,,,
1200,26,1,D13,,,,,,
1500,8,1,D16,,,,,,
900,7,1,D10,,,,,,
1200,14,1,D13,,,,,,
1500,8,1,D16,,,,,,
1200,16,1,D13,,,,,,
1500,4,1,D16,,,,,,
1500,8,1,D16,,,,,,
1350,4,1,D13,,,,,,
1690,4,1,D16,,,,,,
1790,2,1,D13,,,,,,
1200,2,1,D13,,,,,,
1200,2,1,D13,,,,,,
1790,2,1,D13,,,,,,
1500,2,1,D16,,,,,,
1870,1,1,D16,,,,,,
1940,1,1,D16,,,,,,
1500,1,1,D16,,,,,,
1500,2,1,D16,,,,,,
1870,2,1,D16,,,,,,
1500,4,1,D16,,,,,,
1840,4,1,D16,,,,,,
1200,2,1,D13,,,,,,
1250,2,1,D13,,,,,,
1500,2,1,D16,,,,,,
1870,2,1,D16,,,,,,
1956,2,1,D13,,,,,,
1595,2,1,D13,,,,,,
1570,2,1,D13,,,,,,
900,3,1,D10,,,,,,
1200,4,1,D13,,,,,,
1840,6,1,D13,,,,,,
2430,1,1,D13,,,,,,
410,6,1,D10,,,,,,
650,2,1,D10,,,,,,
750,4,1,D10,,,,,,
2264,3,1,D10,,,,,,
2564,1,1,D13,,,,,,
1882,1,1,D10,,,,,,
1127,3,1,D10,,,,,,
1427,2,1,D13,,,,,,
940,1,1,D10,,,,,,
1240,2,1,D13,,,,,,
900,3,1,D10,,,,,,
1200,2,1,D13,,,,,,
2600,1,1,D13,,,,,,
500,8,1,D10,,,,,,
1420,1,1,D13,,,,,,
1960,3,1,D13,,,,,,
2000,1,1,D13,,,,,,
2110,1,1,D13,,,,,,
800,2,1,D10,,,,,,
1200,10,1,D10,,,,,,
3400,21,1,D13,,,,,,
3300,11,1,D13,,,,,,
2600,33,1,D13,,,,,,
2000,13,1,D13,,,,,,
3600,12,1,D13,,,,,,
2400,9,1,D13,,,,,,
3600,14,1,D13,,,,,,
3400,18,1,D13,,,,,,
3050,4,1,D13,,,,,,
2700,14,1,D13,,,,,,
2550,4,1,D13,,,,,,
2400,23,1,D13,,,,,,
1500,7,1,D13,,,,,,
2200,7,1,D13,,,,,,
1200,42,1,D13,,,,,,
1000,4,1,D10,,,,,,
1200,12,1,D13,,,,,,
1000,3,1,D10,,,,,,
5040,5,1,D16,,,,,,
4130,3,1,D16,,,,,,
700,10,1,D10,,,,,,
1000,5,1,D10,,,,,,
600,2,1,D10,,,,,,
2000,2,1,D13,,,,,,
390,16,1,D10,,,,,,
2730,2,1,D13,,,,,,
1820,2,1,D13,,,,,,
1270,4,1,D13,,,,,,
2110,2,1,D13,,,,,,
1910,2,1,D13,,,,,,
5500,19,1,D13,,,,,,
5000,33,1,D13,,,,,,
4500,37,1,D13,,,,,,
3200,33,1,D13,,,,,,
3000,14,1,D13,,,,,,
2800,18,1,D13,,,,,,
1550,14,1,D13,,,,,,
1200,42,1,D13,,,,,,
1000,4,1,D10,,,,,,
1200,12,1,D13,,,,,,
1000,3,1,D10,,,,,,
5040,5,1,D16,,,,,,
4130,3,1,D16,,,,,,
700,10,1,D10,,,,,,
1000,5,1,D10,,,,,,
600,2,1,D10,,,,,,
2000,2,1,D13,,,,,,
390,16,1,D10,,,,,,
2730,2,1,D13,,,,,,
1820,2,1,D13,,,,,,
1270,4,1,D13,,,,,,
2110,2,1,D13,,,,,,
1910,2,1,D13,,,,,,
1200,42,1,D13,,,,,,
1000,5,1,D10,,,,,,
1200,9,1,D13,,,,,,
1000,3,1,D10,,,,,,
5040,5,1,D16,,,,,,
4130,2,1,D16,,,,,,
2000,2,1,D13,,,,,,
1000,5,1,D10,,,,,,
700,10,1,D10,,,,,,
650,6,1,D10,,,,,,
1910,1,1,D13,,,,,,
2110,2,1,D13,,,,,,
390,15,1,D10,,,,,,
4130,1,1,D16,,,,,,
2750,1,1,D13,,,,,,
1340,4,1,D13,,,,,,
1455,1,1,D10,,,,,,
1655,3,1,D13,,,,,,
2110,1,1,D13,,,,,,
1910,1,1,D10,,,,,,
2730,4,1,D13,,,,,,
2570,6,1,D13,,,,,,
1200,46,1,D13,,,,,,
1000,3,1,D10,,,,,,
1200,9,1,D13,,,,,,
1000,4,1,D10,,,,,,
5040,5,1,D16,,,,,,
3020,3,1,D13,,,,,,
2000,2,1,D13,,,,,,
1000,5,1,D10,,,,,,
700,10,1,D10,,,,,,
650,6,1,D10,,,,,,
1340,4,1,D13,,,,,,
390,18,1,D10,,,,,,
1910,1,1,D10,,,,,,
2110,1,1,D13,,,,,,
2730,4,1,D13,,,,,,
2570,2,1,D13,,,,,,
910,1,1,D13,,,,,,
1660,2,1,D13,,,,,,
2800,1,1,D13,,,,,,
1200,43,1,D13,,,,,,
1000,8,1,D10,,,,,,
1200,10,1,D13,,,,,,
4130,1,1,D16,,,,,,
5040,5,1,D16,,,,,,
4130,2,1,D16,,,,,,
2000,1,1,D13,,,,,,
1000,5,1,D10,,,,,,
700,10,1,D10,,,,,,
550,3,1,D10,,,,,,
1000,3,1,D10,,,,,,
390,14,1,D10,,,,,,
2750,1,1,D10,,,,,,
1820,4,1,D13,,,,,,
2730,2,1,D13,,,,,,
5500,24,1,D13,,,,,,
5000,19,1,D13,,,,,,
4500,47,1,D13,,,,,,
3700,19,1,D13,,,,,,
3500,14,1,D13,,,,,,
3000,7,1,D13,,,,,,
2800,23,1,D13,,,,,,
2000,14,1,D13,,,,,,
1600,7,1,D13,,,,,,
5500,33,1,D13,,,,,,
4500,64,1,D13,,,,,,
4100,14,1,D13,,,,,,
3000,2,1,D13,,,,,,
2800,45,1,D13,,,,,,
1550,2,1,D13,,,,,,
4500,15,1,D13,,,,,,
5500,9,1,D13,,,,,,
5000,19,1,D13,,,,,,
4500,47,1,D13,,,,,,
3500,14,1,D13,,,,,,
3200,19,1,D13,,,,,,
3030,2,1,D13,,,,,,
3000,4,1,D13,,,,,,
2800,23,1,D13,,,,,,
2100,15,1,D13,,,,,,
1550,4,1,D13,,,,,,
2000,14,1,D13,,,,,,
5500,19,1,D13,,,,,,
5000,33,1,D13,,,,,,
4500,37,1,D13,,,,,,
3200,33,1,D13,,,,,,
3000,14,1,D13,,,,,,
2800,18,1,D13,,,,,,
1550,14,1,D13,,,,,,
